task_id,job_id,stage,arm,config_id,config,pop_size,ls_time_limit_s,deadline_mode,solver_seed,budget_s,pilot_idx,pop_idx,instance,instance_sha256,batch,cell_id,gen_seed,m,oracle_cost,rc2_solve_s,rc2_tier,analysis_group
50,m2f_p10ls2p5_017_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,17,data/generated/calib_a/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s5.wcnf,ef29b3a0a96cc809785c9cfe729a17b008ec29831b9cb4a57a093492454a0bb1,calib_a,max3sat_n70_a6,5,420,6,75.355,T2a,tier2
51,m2f_p10ls2p5_017_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,17,data/generated/calib_a/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s5.wcnf,ef29b3a0a96cc809785c9cfe729a17b008ec29831b9cb4a57a093492454a0bb1,calib_a,max3sat_n70_a6,5,420,6,75.355,T2a,tier2
52,m2f_p10ls2p5_018_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,18,data/generated/calib_b/wksat_v100_k2_sr4.50_hr0.00_w1_uniform_s1.wcnf,33af505ac00e88268362ee438927139cfb70a6d833a11de4e20c164f0d698239,calib_b,max2sat_n100_a4.5,1,450,32,66.547,T2a,tier2
53,m2f_p10ls2p5_018_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,18,data/generated/calib_b/wksat_v100_k2_sr4.50_hr0.00_w1_uniform_s1.wcnf,33af505ac00e88268362ee438927139cfb70a6d833a11de4e20c164f0d698239,calib_b,max2sat_n100_a4.5,1,450,32,66.547,T2a,tier2
54,m2f_p10ls2p5_018_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,18,data/generated/calib_b/wksat_v100_k2_sr4.50_hr0.00_w1_uniform_s1.wcnf,33af505ac00e88268362ee438927139cfb70a6d833a11de4e20c164f0d698239,calib_b,max2sat_n100_a4.5,1,450,32,66.547,T2a,tier2
55,m2f_p10ls2p5_019_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,19,data/generated/calib_b/wksat_v100_k2_sr4.50_hr0.00_w1_uniform_s2.wcnf,a6af598d077c8d9c349186b81a87dbf97c5aaf0a0aa3abfc645752146e81d6b9,calib_b,max2sat_n100_a4.5,2,450,35,126.025,T2a,tier2
56,m2f_p10ls2p5_019_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,19,data/generated/calib_b/wksat_v100_k2_sr4.50_hr0.00_w1_uniform_s2.wcnf,a6af598d077c8d9c349186b81a87dbf97c5aaf0a0aa3abfc645752146e81d6b9,calib_b,max2sat_n100_a4.5,2,450,35,126.025,T2a,tier2
57,m2f_p10ls2p5_019_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,19,data/generated/calib_b/wksat_v100_k2_sr4.50_hr0.00_w1_uniform_s2.wcnf,a6af598d077c8d9c349186b81a87dbf97c5aaf0a0aa3abfc645752146e81d6b9,calib_b,max2sat_n100_a4.5,2,450,35,126.025,T2a,tier2
58,m2f_p10ls2p5_020_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,20,data/generated/calib_b/wksat_v100_k2_sr5.00_hr0.00_w1_uniform_s1.wcnf,17862c035c2bab559d7c042a63093b6210caf69719e8ba5c2bab6ac1bd593a82,calib_b,max2sat_n100_a5,1,500,35,83.971,T2a,tier2
59,m2f_p10ls2p5_020_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,20,data/generated/calib_b/wksat_v100_k2_sr5.00_hr0.00_w1_uniform_s1.wcnf,17862c035c2bab559d7c042a63093b6210caf69719e8ba5c2bab6ac1bd593a82,calib_b,max2sat_n100_a5,1,500,35,83.971,T2a,tier2
